Iter0 t(s)	Iter0 HV	Iter1 t(s)	Iter1 HV	Iter2 t(s)	Iter2 HV	Iter3 t(s)	Iter3 HV	Iter4 t(s)	Iter4 HV	Iter5 t(s)	Iter5 HV	Iter6 t(s)	Iter6 HV	Iter7 t(s)	Iter7 HV	Iter8 t(s)	Iter8 HV	Iter9 t(s)	Iter9 HV	
0.0029990673065185547	160197.14369327226	0.0031256675720214844	159598.73596282347	0.0045032501220703125	157795.69500719328	0.0035076141357421875	158997.23275602027	0.0029990673065185547	160236.38447874735	0.004000186920166016	158976.11094748694	0.003000020980834961	160087.26637861188	0.003000020980834961	159944.2648109846	0.002000093460083008	160234.51156598434	0.002000093460083008	159923.83921062938	
0.10550093650817871	160302.05759124833	0.13881421089172363	159763.5803982144	0.08369946479797363	158907.84629966426	0.0895540714263916	159086.92209548078	0.17389917373657227	160579.22083038208	0.15371060371398926	159351.591202263	0.0622105598449707	160227.83395311702	0.10132193565368652	160430.33748132974	0.05585050582885742	160535.0193530783	0.027622222900390625	160136.8927628235	
0.3168349266052246	160443.03095873212	0.43642544746398926	159885.33582744448	0.38225889205932617	159134.29465776464	0.42835211753845215	159792.9976947146	0.27986741065979004	160640.94367645576	0.26700520515441895	159642.7418333333	0.46094536781311035	160449.2165634271	0.28191447257995605	160527.1740000986	0.2089707851409912	160625.38624337385	0.2708582878112793	160213.45377382456	
0.7199125289916992	160572.56373054197	0.8534722328186035	159955.61578536994	0.7843644618988037	159217.64437524052	0.9130353927612305	159849.28194926953	0.6275975704193115	160843.43386696282	0.5358150005340576	160235.85504683346	0.6547393798828125	160613.15101531142	0.8183732032775879	160547.75935593116	0.5187296867370605	160694.38122391413	0.48650383949279785	160344.53280047333	
1.1957273483276367	160799.5318657519	1.0466609001159668	160348.9512675072	0.9763288497924805	159290.7362367443	1.3130462169647217	160121.04372480966	1.049637794494629	160934.1879471456	0.9540755748748779	160379.85442273156	0.9235095977783203	160787.99381502063	1.3061347007751465	160796.43556549452	0.7345499992370605	160768.17476925615	0.6534838676452637	160635.7148989773	
1.6023156642913818	160860.46426327425	1.5015981197357178	160425.52428071585	1.2449746131896973	159467.76848123316	1.6619491577148438	160157.1332483041	1.2988505363464355	160954.59102749807	1.276216745376587	160570.5330173846	1.3387556076049805	160818.86690594273	1.786123514175415	160840.8298451345	0.9690117835998535	160808.72304726788	0.9196610450744629	160676.42657460587	
1.9798595905303955	160915.911334049	1.7638328075408936	160688.33509233824	1.5854220390319824	159712.4915400994	1.9515926837921143	160328.12672506794	1.7579481601715088	160935.74833265741	1.8743109703063965	160624.96282634608	1.766084909439087	160901.88418692723	2.3210549354553223	160869.1655976362	1.2594304084777832	160894.0625269554	1.2009367942810059	160739.95891265292	
2.41324520111084	160953.9142537312	2.1155147552490234	160754.3198825921	2.1423256397247314	160608.44728785168	2.340172290802002	160721.58110895607	2.348787546157837	160909.56017617747	2.409499406814575	160659.59374281095	2.3566410541534424	160897.63079984428	2.8423495292663574	160882.24695371685	1.5909693241119385	160899.02923768127	1.5099225044250488	160862.70753617515	
2.990493059158325	160955.9036140448	2.6416006088256836	160821.53892184235	2.5942940711975098	160776.34247728126	2.8701837062835693	160913.85123197502	2.9446566104888916	160946.28649404473	2.87845778465271	160803.87326607984	2.692878246307373	160886.5420291627	3.3470852375030518	160921.18207754215	1.8085203170776367	160925.85613776505	1.802342414855957	160877.9522863756	
3.4951486587524414	160931.691275998	3.2072150707244873	160843.01463972256	2.9709079265594482	160807.8160945471	3.320488929748535	160925.71451794636	3.3729734420776367	160945.08530983212	3.4809632301330566	160821.13732737806	3.1985862255096436	160907.46114159387	3.8669257164001465	160960.59496650813	2.088491201400757	160932.85123240468	2.058946371078491	160916.72453970305	
3.976017475128174	160919.09193977813	3.8602495193481445	160845.5913204312	3.572779893875122	160791.53129718508	3.803429365158081	160958.28399766897	3.9009692668914795	160982.8568300116	3.975386619567871	160826.79253459466	3.5941390991210938	160931.73153188574	4.309692621231079	160980.6167909259	2.2992351055145264	160954.17470783347	2.427389144897461	160947.00437163562	
4.498895883560181	160941.30950407026	4.4059083461761475	160861.0194012475	3.9112370014190674	160962.82728091598	4.311450242996216	160969.96259830915	4.414547920227051	160987.4504256305	4.523113965988159	160890.56748933732	4.251175403594971	160947.3231328698	4.728350639343262	160978.73916070792	2.621962308883667	160972.09220628836	2.614691734313965	160957.88093114123	
5.0268394947052	160945.6885934404	4.934547662734985	160878.9159554296	4.263432741165161	161001.72413197657	4.79841423034668	160983.27850401052	5.007877588272095	160993.6872504865	5.239267587661743	160853.2152710466	4.651246547698975	160930.71836749895	5.270840406417847	160958.8429746976	2.912961006164551	160993.23307734713	2.9385244846343994	160966.24255332115	
5.5371270179748535	160948.8862618921	5.512862920761108	160958.8831809646	4.839949607849121	161001.15244070825	5.334839344024658	160988.04289013997	5.474411725997925	161005.262419267	5.757396459579468	160909.70610130904	5.172280550003052	160959.62281558535	5.682055711746216	160983.40323436173	3.2211403846740723	161005.2514875044	3.220641613006592	160956.91757890716	
6.141901254653931	160951.83524252882	5.954340696334839	160981.03130177	5.368157386779785	161002.66549840412	6.03165078163147	160994.66383884894	6.112024307250977	160999.68143062253	6.220437049865723	160978.26075221444	5.530334949493408	160968.30398821158	6.271861791610718	161011.3098249184	3.5372097492218018	161005.2473794458	3.525425434112549	160921.03841097315	
6.72801399230957	160981.42371054267	6.472090721130371	160989.31899811153	5.952248573303223	160971.0234433257	6.6360814571380615	160999.73067203045	6.800851821899414	161005.8066814883	6.8483664989471436	160959.2126047943	6.043632984161377	160979.47599367285	6.781084060668945	161011.9866020905	3.8936760425567627	160989.53031861843	3.8336379528045654	160908.5941286994	
7.317879915237427	160961.9074404867	6.99709415435791	160988.12562565974	6.529762029647827	161020.52805314396	7.22786808013916	161017.5100142406	7.293755531311035	161004.65334591173	7.387120723724365	160889.00488110387	6.565765142440796	160998.94060855318	7.434602499008179	160994.13411901722	4.2925124168396	161000.4821217775	4.112239122390747	160917.550452501	
