Iter0 t(s)	Iter0 HV	Iter1 t(s)	Iter1 HV	Iter2 t(s)	Iter2 HV	Iter3 t(s)	Iter3 HV	Iter4 t(s)	Iter4 HV	Iter5 t(s)	Iter5 HV	Iter6 t(s)	Iter6 HV	Iter7 t(s)	Iter7 HV	Iter8 t(s)	Iter8 HV	Iter9 t(s)	Iter9 HV	
0.004000425338745117	11093816.225133073	0.004028797149658203	7772444.66817536	0.004002094268798828	11582174.308190951	0.0030014514923095703	10297853.524102582	0.003999948501586914	11435037.051406905	0.005631208419799805	11719453.936624682	0.003998279571533203	8195021.889184111	0.002502918243408203	10796251.84858374	0.003759145736694336	9972543.41451858	0.00401616096496582	11900126.091314279	
0.013508081436157227	11296427.966424642	0.013033151626586914	9900755.5935184	0.013509750366210938	11809060.788333168	0.013507366180419922	10613690.24348018	0.012029647827148438	11649847.268079981	0.016139745712280273	12812299.451419197	0.012505054473876953	9505176.98779053	0.011008501052856445	10909513.952279046	0.012531518936157227	10176152.457092818	0.013520956039428711	12120002.471464222	
0.02752685546875	11756591.559269026	0.02404928207397461	10339372.397892397	0.02468729019165039	12440633.742628485	0.030516386032104492	11327073.988354718	0.02227640151977539	12975845.654282104	0.031146526336669922	13212794.299244424	0.025029897689819336	9916329.884532873	0.022015094757080078	11970025.666730195	0.02379631996154785	10456226.808936661	0.023816585540771484	12260667.060457751	
0.039096832275390625	12010453.421114475	0.03556394577026367	11264380.68654557	0.038846492767333984	12659210.254379898	0.04703116416931152	11828202.678756002	0.03378438949584961	14139350.708115999	0.04433321952819824	14309148.559031814	0.039322614669799805	11806349.145178147	0.03402853012084961	12495767.087335985	0.03586745262145996	10923877.93950202	0.03582501411437988	12651027.609068438	
0.05108284950256348	13230961.743784942	0.04807090759277344	11874012.893575227	0.05112862586975098	12863563.501507321	0.06654882431030273	13538084.019775935	0.04479193687438965	14606317.474608107	0.05651044845581055	14753988.058761558	0.05884265899658203	12079871.396275155	0.0507204532623291	12991057.248725854	0.04941439628601074	12154531.073336296	0.049921274185180664	12985592.133003306	
0.065093994140625	13393849.103534631	0.06158804893493652	12102063.6404789	0.07013440132141113	13685724.031289704	0.08764195442199707	13704810.17015869	0.06680965423583984	14748422.940582301	0.07773303985595703	16229284.824404208	0.07785201072692871	12289028.931291007	0.07892918586730957	13190353.26427915	0.06497359275817871	13173491.669235041	0.07144021987915039	13484418.298037672	
0.08747720718383789	13540541.08560141	0.07860708236694336	12543550.332037268	0.09015250205993652	14219278.237267433	0.11065387725830078	14521552.011177564	0.1068418025970459	15230128.427604305	0.10949563980102539	16591703.077730145	0.09986591339111328	12547502.980354685	0.11336064338684082	13358690.966793291	0.07905316352844238	13424289.017683338	0.10113024711608887	13595282.745660089	
0.121002197265625	13734142.350731662	0.09662961959838867	13233346.474627545	0.12255263328552246	14769229.509738807	0.13926410675048828	14657720.640537884	0.14396166801452637	15718243.253019506	0.15149998664855957	17656796.638404306	0.12738776206970215	12796815.760746991	0.14488911628723145	13629543.52321729	0.10152554512023926	15217941.623316025	0.14014792442321777	13761729.848552179	
0.15908122062683105	13838006.593200086	0.11964845657348633	13527668.917193403	0.16057229042053223	15971889.943486117	0.16778135299682617	15802688.197009295	0.18300151824951172	16308632.201538723	0.21756768226623535	17780506.2589277	0.16011571884155273	13067564.513802081	0.19346332550048828	13808540.844187927	0.1522519588470459	15561254.951264463	0.1883683204650879	13877094.734259542	
0.20963501930236816	14358654.730438022	0.14869427680969238	13633197.997078668	0.20909547805786133	16281719.58116505	0.20385146141052246	17279174.421269592	0.24673700332641602	16521175.992040874	0.2747008800506592	17928020.04386321	0.19203448295593262	13433557.239763223	0.2788982391357422	13856720.339626659	0.22602534294128418	15672468.526162697	0.24808883666992188	13973991.580833575	
0.2667255401611328	15336966.532924471	0.1765761375427246	13775234.180771684	0.25304198265075684	16540805.004824871	0.25249147415161133	17343996.39886442	0.29978251457214355	17501894.34134675	0.3454606533050537	18124751.01752931	0.24713754653930664	13513039.511597509	0.3901054859161377	13984552.126160214	0.3122715950012207	16860102.881281182	0.3231632709503174	14135897.773770843	
0.3359251022338867	15449843.45840298	0.21336793899536133	13866865.301747201	0.30642175674438477	16977039.114651587	0.30956244468688965	17461963.115984708	0.3763422966003418	17763101.361293126	0.40899014472961426	18367792.7181447	0.29787707328796387	13595959.565324921	0.5371005535125732	14015753.6929359	0.4234039783477783	17312762.145875476	0.4085507392883301	14223034.932374813	
0.4097104072570801	15513940.499886919	0.25977158546447754	13919997.863635873	0.39141106605529785	18204449.478859246	0.36786961555480957	17664626.693213113	0.4521145820617676	18024921.6320719	0.4970848560333252	18476908.978466693	0.3584256172180176	13686332.041492276	0.6696362495422363	16901482.298662927	0.5446257591247559	17402986.1569466	0.5263104438781738	14289547.536321586	
0.5139751434326172	16239563.653060444	0.31438183784484863	14146439.759717692	0.464824914932251	18318744.63766883	0.4243967533111572	17875812.803691436	0.524665355682373	18149229.754356734	0.5921599864959717	18560326.82299831	0.4329802989959717	13764997.468495123	0.8832993507385254	16982743.214052588	0.698016881942749	17637994.17934829	0.6954324245452881	14311303.614823416	
0.643380880355835	16296686.88861838	0.39944887161254883	14255010.56737102	0.5520651340484619	18508944.254891276	0.5145411491394043	18265734.62956639	0.615119457244873	18290806.104866102	0.7042393684387207	18855469.36009998	0.4894585609436035	13895964.372619351	1.0969130992889404	17153095.146360904	0.8496181964874268	17784242.7323367	0.8764338493347168	14321176.477720838	
0.8359599113464355	16357629.17143271	0.5061335563659668	14301355.020872237	0.649132490158081	18566343.987641472	0.6295113563537598	18372703.006025087	0.7158126831054688	18453426.328260165	0.8353133201599121	18950804.758953836	0.565540075302124	13967675.33594901	1.273430347442627	17308690.488922663	0.9935641288757324	17844031.556885593	1.0737988948822021	14338686.555490123	
1.0188779830932617	16446607.30361783	0.6182100772857666	14324224.672959864	0.7701489925384521	18673718.035893653	0.744783878326416	18428197.305368636	0.8158721923828125	18601491.265630852	0.950139045715332	19010364.485903896	0.643303394317627	14058060.84753643	1.4575285911560059	18127961.063373357	1.1135718822479248	18278646.92785039	1.3031067848205566	14357544.780334793	
1.2825744152069092	17015847.08476487	0.7358057498931885	14335459.78664895	0.9139730930328369	18759665.77532654	0.8628077507019043	18747829.854758102	0.9330956935882568	18820173.653094612	1.068326711654663	19130929.730239965	0.7282192707061768	14170691.91163887	1.6227993965148926	18486777.445892464	1.246649980545044	18560076.631521344	1.5256295204162598	14366156.93294619	
1.5219597816467285	17491753.065533876	0.8887183666229248	14362006.87880507	1.0403738021850586	18808502.79681069	0.9811561107635498	18906325.620898224	1.084254264831543	18907959.161651053	1.204498052597046	19153886.857740335	0.833939790725708	14224730.180008229	1.7788043022155762	18762320.056137525	1.391132116317749	18595192.293804757	1.769498348236084	14385291.959901283	
1.752032995223999	17821010.856801845	1.006305456161499	14371707.23667258	1.161186933517456	18846542.93377658	1.140610694885254	18970355.902016517	1.2205181121826172	19002893.660692703	1.3818705081939697	19197616.649156403	0.9541997909545898	14242739.13193877	1.9727189540863037	18846843.2458607	1.5331299304962158	18872530.076689508	2.019951105117798	14399824.625286603	
1.9446704387664795	18102038.947788805	1.1594924926757812	14403939.285891166	1.2738888263702393	18928640.959919203	1.2964775562286377	19038280.272997327	1.3884892463684082	19076347.4789262	1.5722026824951172	19238330.70255435	1.0858426094055176	14261829.184356082	2.2095906734466553	18896932.999270275	1.7126202583312988	19070114.55673278	2.318077325820923	14405286.230086979	
2.1381094455718994	18431715.522966154	1.3368322849273682	14419543.160216775	1.419994592666626	18991647.307468116	1.4745047092437744	19197046.73536877	1.5437636375427246	19148551.10146734	1.7589857578277588	19273057.800933264	1.2479181289672852	14287096.724515261	2.532269239425659	18940664.618945383	1.8612337112426758	19099474.2279354	2.615102529525757	14409975.705174325	
2.3790435791015625	18904102.508178882	1.551912546157837	14430405.372507708	1.6253106594085693	19043743.771971483	1.6747667789459229	19232010.478853814	1.718494176864624	19198069.076270744	1.9669857025146484	19296791.287699476	1.4589567184448242	14294830.476094907	2.824678659439087	18988973.50359139	2.1093523502349854	19118500.83372704	2.929901123046875	14415308.912381604	
2.6265571117401123	19190105.078025036	1.7783842086791992	14460715.830049247	1.846421241760254	19149330.983141698	1.8658409118652344	19254688.343509156	1.936547040939331	19232737.066672474	2.2024731636047363	19318455.923283905	1.7633519172668457	14311276.163600435	3.1260159015655518	19013218.76629738	2.291132688522339	19141033.794427253	3.2696752548217773	14424404.72004589	
2.883941888809204	19249763.58880712	2.015353202819824	14474859.418912	2.1040377616882324	19238908.832319863	2.025886058807373	19290349.174263008	2.1895639896392822	19267212.017402887	2.418476104736328	19343752.363740142	2.026379108428955	14314787.48236526	3.442075252532959	19047195.64594014	2.4745068550109863	19163304.655572243	3.583186626434326	14432543.69199632	
3.1073262691497803	19322222.39887488	2.2310397624969482	14485356.54241344	2.3725767135620117	19274739.024577416	2.218508720397949	19316422.526544947	2.4572479724884033	19288258.28978952	2.6614677906036377	19355399.907775875	2.371572732925415	14330515.95025239	3.7700724601745605	19095497.710223164	2.67533540725708	19189039.24225826	3.9409589767456055	14434448.519329546	
3.400498390197754	19361240.73482117	2.4283511638641357	14497077.672461735	2.571762800216675	19296411.186897144	2.410172939300537	19329055.211435605	2.6943705081939697	19298937.326534744	2.936976909637451	19361084.71232135	2.767476797103882	14347423.127271714	4.1104896068573	19127186.721678928	2.897270679473877	19245986.884905357	4.316931962966919	14446046.701860456	
3.6868247985839844	19374296.887383893	2.587390184402466	14504673.083479758	2.7877190113067627	19313173.899107806	2.614577293395996	19338966.276988238	2.887979745864868	19305149.671271726	3.2423691749572754	19386791.30856955	3.032047986984253	14349572.74194479	4.349171161651611	19147106.818145107	3.0995264053344727	19279779.169432454	4.607847452163696	14449662.317689456	
3.9604856967926025	19387057.972345483	2.7824010848999023	14509748.613403993	2.9768850803375244	19337137.644678067	2.838829755783081	19352860.169124473	3.0742835998535156	19325835.203696173	3.519779920578003	19396413.67868837	3.3074519634246826	14356931.773927748	4.626633405685425	19160408.598289456	3.3067188262939453	19293438.45058978	4.941652774810791	14459958.664682126	
4.233071804046631	19395361.351821396	2.9751224517822266	14513183.142934326	3.2166967391967773	19356774.654260732	3.109652042388916	19364625.325312912	3.2766313552856445	19334207.537793532	3.8149919509887695	19401736.965915967	3.599527597427368	14374670.515316008	4.8821938037872314	19184321.590339758	3.5126328468322754	19315587.539787523	5.319554090499878	14467965.69174739	
4.498270750045776	19419823.11242693	3.185628652572632	14515672.53399376	3.448378086090088	19388567.785407316	3.3318676948547363	19369636.92217095	3.509648084640503	19351619.954673536	4.104344844818115	19408486.489763133	3.919847011566162	14384523.838977523	5.12073540687561	19210309.338960014	3.7053184509277344	19331930.91920812	5.785923004150391	14476625.067957267	
4.784737825393677	19424248.869319145	3.3809938430786133	14518389.301474495	3.6271395683288574	19392909.469765328	3.583192825317383	19372761.554642886	3.6806132793426514	19364610.587814156	4.4397523403167725	19412210.709012628	4.242353439331055	14392273.175947193	5.346062898635864	19218714.60139168	3.9284279346466064	19336976.12922159	6.24067234992981	14483705.76510553	
5.078290700912476	19426251.69109456	3.5598137378692627	14519889.264241014	3.841639280319214	19406191.96008852	3.803223133087158	19380418.335878216	3.8646180629730225	19378103.50748011	4.765409708023071	19426216.891312655	4.516160726547241	14396544.503152817	5.557318687438965	19231272.36561189	4.177834510803223	19353698.749181405	6.598672866821289	14491090.945423255	
5.383783340454102	19429702.727397397	3.7439825534820557	14522381.787959728	4.037848949432373	19415274.299261175	4.046551465988159	19384877.360413555	4.055371999740601	19382857.129989736	5.05894660949707	19431267.793904386	4.812086343765259	14399618.826206882	5.755355596542358	19259104.590179868	4.448688507080078	19358121.286060404	6.9212024211883545	14497043.989604076	
5.625054597854614	19435216.819342695	3.930633783340454	14526094.923500191	4.230014801025391	19422945.448229887	4.302944898605347	19389082.51664197	4.234004259109497	19390647.04647159	5.340464353561401	19434866.480372515	5.151963710784912	14404823.017096702	6.011108160018921	19278350.632354233	4.705470561981201	19360542.811709974	7.247092247009277	14508461.280923558	
5.901758193969727	19437219.984842427	4.1322479248046875	14527253.496953841	4.444932699203491	19429066.73041942	4.5844502449035645	19397254.97084462	4.423795461654663	19392291.031223763	5.800420045852661	19441363.68205414	5.483355760574341	14415775.112107435	6.245489597320557	19290455.087317258	4.951561212539673	19368622.202570435	7.6073548793792725	14515471.674995039	
6.193100452423096	19442336.55532396	4.399631977081299	14529446.34351632	4.634464263916016	19439285.81446985	4.862913608551025	19399769.436468527	4.649749517440796	19398305.530661553	6.188246011734009	19446846.496996537	5.8556036949157715	14420538.685477559	6.506243467330933	19304905.881434638	5.201272010803223	19372418.427301385	7.987832069396973	14518054.436938245	
6.480428457260132	19448600.460140076	4.616148948669434	14530798.551623847	4.8519275188446045	19442844.580798443	5.185372829437256	19407344.952229045	4.86735987663269	19402691.122163646	6.554610013961792	19455422.391449243	6.183921813964844	14427605.262315879	6.785075902938843	19316965.8521639	5.493667364120483	19374491.834976096	8.341693878173828	14523960.064870257	
6.768465518951416	19451142.847739518	4.840627193450928	14532662.48704448	5.104117393493652	19451975.57887783	5.4993369579315186	19413872.960491866	5.075690031051636	19405617.07802687	6.912917852401733	19461186.300395474	6.5445497035980225	14433110.126093823	7.072239637374878	19326842.49053074	5.737545490264893	19382899.654671766	8.677196979522705	14525644.458348636	
7.103121995925903	19455023.651354764	5.08243989944458	14534078.14094566	5.366994142532349	19454676.632846937	5.874725580215454	19416542.284074105	5.268258333206177	19407886.656060413	7.3289594650268555	19461480.500018798	6.938114881515503	14439556.289116604	7.407914400100708	19336242.889417622	5.991671562194824	19392196.908831276	9.14124608039856	14527196.458730988	
7.4918787479400635	19457809.53211418	5.383096933364868	14536460.515098134	5.574920654296875	19455510.992021844	6.295648097991943	19419883.687009193	5.5014472007751465	19411039.713085473	7.658432483673096	19464623.770954672	7.331519365310669	14442053.304610448	7.702085018157959	19348253.65018495	6.271448612213135	19399178.328075666	9.588429927825928	14529966.215037469	
7.8679280281066895	19459750.97654835	5.6283814907073975	14538362.796087235	5.799055814743042	19459457.470982797	6.67218279838562	19421082.422087714	5.735965728759766	19415531.689350005	8.061774492263794	19467114.259296026	7.717612981796265	14454645.764813295	8.056912660598755	19355936.576252926	6.556574821472168	19403452.734792646	9.946697473526001	14531590.463258956	
8.260385036468506	19460937.40780364	5.901165962219238	14539493.108810289	5.988625526428223	19462146.918067213	7.011735439300537	19423385.62558713	5.961293458938599	19418129.279143915	8.486254215240479	19467879.463640153	8.231689214706421	14457034.757066837	8.42552375793457	19360799.482853338	6.833204030990601	19416633.91160179	10.295072317123413	14533122.571187118	
8.654251337051392	19461658.08414902	6.164713382720947	14540763.166659044	6.199317216873169	19463336.48030333	7.375671148300171	19426427.268724162	6.236740350723267	19419811.80958263	8.866131782531738	19469136.93132965	8.686523675918579	14459350.959558329	8.798566579818726	19365670.18664969	7.147105932235718	19421043.61916826	10.700349569320679	14533962.988133885	
